D_km,SKR_0.0,SKR_1.0e-6,SKR_0.001
73,0.015630935661518797,0.014843507076043634,0.0
74,0.01492712709855146,0.014157579989725964,0.0
75,0.014254990571986792,0.013502926529709058,0.0
76,0.013613104700528341,0.012878184851877236,0.0
77,0.013000113811778067,0.012281825095761685,0.0
78,0.012414706122016176,0.011712742106300696,0.0
79,0.011855647852149022,0.011169623644907017,0.0
80,0.011321757286522632,0.010651315587289498,0.0
81,0.010811888193798587,0.010156664409177233,0.0
82,0.010324969999625823,0.009684626988590201,0.0
83,0.009859968585425004,0.009234166787571382,0.0
84,0.009415892617779163,0.008804295872749095,0.0
85,0.008991805046748012,0.008394094386139434,0.0
86,0.008586802853136531,0.00800266261904719,0.0
87,0.008200028752709638,0.007629151090699664,0.0
88,0.007830659907133518,0.007272509082823624,0.0
89,0.007477923730830188,0.0069326688788005205,0.0
90,0.007141058274199925,0.0066081800529507115,0.0
91,0.006819351002898452,0.006298572184452778,0.0
92,0.006512126575199204,0.006003166410627255,0.0
93,0.00621872871686082,0.005721117099610324,0.0
94,0.005938539312015949,0.005452415709201323,0.0
95,0.005670956835711937,0.005195865449270632,0.0
96,0.005415418061781591,0.004951106925238094,0.0
97,0.0051713818353580415,0.004717580425227294,0.0
98,0.0049383270943561056,0.004494838202056097,0.0
99,0.004715763412686246,0.004282350245851118,0.0
100,0.004503216342634634,0.004079627730639407,0.0
101,0.004300234615855875,0.0038862499419724246,0.0
102,0.004106387959977132,0.0037017807671454505,0.0
103,0.00392126722208434,0.003525855836613378,0.0
104,0.003744478318709343,0.0033580081722838864,0.0
105,0.0035756454842096473,0.0031979477700996213,0.0
106,0.0034144105608081695,0.003045310444147009,0.0
107,0.0032604329288482043,0.0028996876240430995,0.0
108,0.003113384458857178,0.002760783003492174,0.0
109,0.0029729586340456735,0.002628347932894163,0.0
110,0.0028388472149855196,0.0025018955548686355,0.0
111,0.0027107784891281994,0.002381651472953158,0.0
112,0.0025884699762015327,0.0022666455963165845,0.0
113,0.002471665980041347,0.0021571731588910887,0.0
114,0.002360119577648989,0.002052855226239853,0.0
115,0.0022535938124436366,0.001953281585633476,0.0
116,0.0021518625889886504,0.0018583793746779645,0.0
117,0.0020547070090985954,0.0017678784639739496,0.0
118,0.001961927398428833,0.0016815962877578432,0.0
119,0.0018733203296590183,0.0015993427805943692,0.0
120,0.0017887041025880864,0.0015209630647010789,0.0
121,0.0017079003823347921,0.0014461424639067271,0.0
122,0.0016307292446642357,0.0013746538632789641,0.0
123,0.0015570298302808986,0.0013069150502385944,0.0
124,0.00148664910234962,0.0012422087593765725,0.0
125,0.001419435507787889,0.001180649829387939,0.0
126,0.0013552474356122667,0.001121768990303907,0.0
127,0.0012939460677412811,0.0010657570146370703,0.0
128,0.0012354059949708598,0.001012482978895459,0.0
129,0.0011795015786909796,0.0009615352738696844,0.0
130,0.0011261155196131693,0.0009131293158850042,0.0
131,0.0010751292955611187,0.0008670049506178096,0.0
132,0.001026437829747648,0.000823014596578905,0.0
133,0.0009799318252883176,0.0007809939946772489,0.0
134,0.0009355276231682892,0.0007412257934241545,0.0
135,0.000893121664974064,0.0007032074848211304,0.0
136,0.0008526200724602028,0.000666395579365004,0.0
137,0.0008139439107010928,0.0006320836843566047,0.0
138,0.0007770096765127313,0.0005992766189154484,0.0
139,0.0007417348914418079,0.0005680376053497391,0.0
140,0.0007080500174129526,0.00053828078721276,0.0
141,0.0006758792398872457,0.0005099676357627779,0.0
142,0.0006451556364283379,0.0004830161095088422,0.0
143,0.0006158190453440676,0.00045735864847780167,0.0
144,0.0005877981609804799,0.0004330358559229445,0.0
145,0.0005610432084383707,0.0004097898294325002,0.0
146,0.0005354880031721145,0.00038766437497576736,0.0
147,0.0005110854042330756,0.0003666156437929801,0.0
148,0.0004877811462490474,0.000343522251354269,0.0
149,0.00046552568982624425,0.0003269765612528031,0.0
150,0.0004442717783488448,0.00030818227715236296,0.0
151,0.00042397433642230763,0.0002916483501123692,0.0
152,0.0004045904016034511,0.00027529232054516903,0.0
153,0.000386081583421827,0.000259728239493919,0.0
154,0.00036840401196396933,0.0002451388382485757,0.0
155,0.0003515215987378686,0.00023106335984676756,0.0
156,0.0003353995397191528,0.0002176838556065571,0.0
157,0.00032000340854738567,0.0002049616551717584,0.0
158,0.0003052974871520851,0.00019287717456969758,0.0
159,0.00029125790827880043,0.00018139566864837858,0.0
160,0.0002778476445563842,0.00017075775737050006,0.0
161,0.0002650430164302146,0.00016038968002434918,0.0
162,0.00025281306563338843,0.00015054062538402438,0.0
163,0.00024113492488855008,0.00014108510901100204,0.0
164,0.00022997694977265065,0.00013221510905072012,0.0
165,0.00021932891865689299,0.0001237947820626219,0.0
166,0.00020915888522194447,0.00011580141232750947,0.0
167,0.0001994465176184166,0.00010822313819993626,0.0
168,0.0001901705768490162,0.00010102837610575157,0.0
169,0.00018131239039711713,9.421005338792874e-5,0.0
170,0.00017285296134046823,8.774379521702506e-5,0.0
171,0.00016477306963589726,8.161499779261595e-5,0.0
172,0.00015705845711837076,7.580792664151992e-5,0.0
173,0.00014969126359793805,7.036933474590045e-5,0.0
174,0.00014265587356828755,6.515362534620725e-5,0.0
175,0.00013593737122214226,6.021822987057875e-5,0.0
176,0.00012952150873692998,5.5514668781667724e-5,0.0
