D_km,SKR_0.0,SKR_1.0e-6,SKR_0.001
187,6.203984671201801e-5,1.0760540025922443e-5,0.0
188,5.8920354428864037e-5,8.89870197438126e-6,0.0
189,5.594856523526476e-5,7.077550208479553e-6,0.0
190,5.3109689770497856e-5,5.390333968030335e-6,0.0
191,5.039500258565367e-5,3.7092525367471576e-6,0.0
192,4.780173707428621e-5,2.2337824018958793e-6,0.0
193,4.533257036559084e-5,8.535238089183526e-7,0.0
194,4.2971561319811554e-5,0.0,0.0
195,4.0714863295636316e-5,0.0,0.0
196,3.855679204427475e-5,0.0,0.0
197,3.650227537877631e-5,0.0,0.0
198,3.454439899595013e-5,0.0,0.0
199,3.2675845302388526e-5,0.0,0.0
200,3.0886785163136746e-5,0.0,0.0
201,2.9175023286697885e-5,0.0,0.0
202,2.7554332209831524e-5,0.0,0.0
203,2.599684854866196e-5,0.0,0.0
204,2.451525622007896e-5,0.0,0.0
205,2.3099829198933634e-5,0.0,0.0
206,2.1746068821149746e-5,0.0,0.0
207,2.0462152686661764e-5,0.0,0.0
208,1.9232649718575668e-5,0.0,0.0
209,1.8059221157067826e-5,0.0,0.0
210,1.6940096279567862e-5,0.0,0.0
211,1.587285803608258e-5,0.0,0.0
212,1.485518502513352e-5,0.0,0.0
213,1.388485897068554e-5,0.0,0.0
214,1.2954917811308482e-5,0.0,0.0
215,1.2076919699175247e-5,0.0,0.0
216,1.1239773115085374e-5,0.0,0.0
217,1.043787660864098e-5,0.0,0.0
218,9.673662598494742e-6,0.0,0.0
219,8.945489877518992e-6,0.0,0.0
220,8.25139794428333e-6,0.0,0.0
221,7.589644920517724e-6,0.0,0.0
222,6.960880533139273e-6,0.0,0.0
223,6.360174182976463e-6,0.0,0.0
224,5.788248792322894e-6,0.0,0.0
225,5.247450750608514e-6,0.0,0.0
226,4.730996442914912e-6,0.0,0.0
227,4.2371394457059066e-6,0.0,0.0
228,3.770250620195857e-6,0.0,0.0
229,3.326476979262831e-6,0.0,0.0
230,2.9017569404121272e-6,0.0,0.0
231,2.5043211999089454e-6,0.0,0.0
232,2.1240686922850216e-6,0.0,0.0
233,1.7569811290676889e-6,0.0,0.0
234,1.417646449599929e-6,0.0,0.0
235,1.0934283233818415e-6,0.0,0.0
236,7.858057915196044e-7,0.0,0.0
237,4.907364843196127e-7,0.0,0.0
238,2.196231210597767e-7,0.0,0.0
239,0.0,0.0,0.0
240,0.0,0.0,0.0
241,0.0,0.0,0.0
242,0.0,0.0,0.0
243,0.0,0.0,0.0
244,0.0,0.0,0.0
245,0.0,0.0,0.0
246,0.0,0.0,0.0
247,0.0,0.0,0.0
248,0.0,0.0,0.0
249,0.0,0.0,0.0
250,0.0,0.0,0.0
251,0.0,0.0,0.0
252,0.0,0.0,0.0
253,0.0,0.0,0.0
254,0.0,0.0,0.0
255,0.0,0.0,0.0
