D_km,SKR_0.0,SKR_0.01,SKR_0.1,SKR_0.15
26,0.3019598517263619,0.2723581283700872,0.11516921590838286,0.05129965355809574
27,0.28836773973075147,0.26009930166948575,0.10998540990308309,0.04899050290666046
28,0.27538749947864394,0.24839227785790402,0.10503491420539576,0.046785283757235285
29,0.2629913417530543,0.23721213445094824,0.10030721789225798,0.044679316859407445
30,0.25115312018684677,0.22653517612227922,0.09579231011743228,0.042668128983248746
31,0.23984769737107753,0.21633873267071868,0.09148061877871652,0.0407474697842877
32,0.22905079122293773,0.20660125547734035,0.08736297473979387,0.0389132469870489
33,0.2187404582236494,0.19730201446756623,0.08343065388421099,0.037161578081433805
34,0.20889353272012784,0.18842123621072754,0.07967532076048155,0.03548874759536315
35,0.19949007819108971,0.1799402977448173,0.07608899640014649,0.033891203112866655
36,0.19051002684636237,0.17184095294134658,0.07266409247727564,0.032365563900816186
37,0.1819342258903022,0.1641061930973572,0.0693933361060497,0.030908586828669385
38,0.17374393856400644,0.15671957576811493,0.06626978319181308,0.02951719232756579
39,0.16592255238960762,0.1496653415065409,0.06328681493127847,0.02818841334809577
40,0.1584532735137644,0.14292867225082312,0.060438100808035924,0.026919442708371516
41,0.15132007233750017,0.1364951667796625,0.05771759720905221,0.025707585025147126
42,0.14450794812111525,0.13035120332861344,0.055119543116123014,0.024550264430673888
43,0.13800227779381577,0.12448379737000403,0.0526384173028759,0.02344503559455096
44,0.13178956185418397,0.11888044483796208,0.05026896221273048,0.022389554180545466
45,0.12585647120059423,0.11352927064865907,0.04800614105206486,0.021381574818541277
46,0.12019042061253574,0.10841897467171395,0.04584517666959661,0.02041895730709984
47,0.11477939126125501,0.10353866363181594,0.04378146716599574,0.019499672273510203
48,0.10961190520489789,0.0988779914725871,0.041810637748307046,0.018621756825035342
49,0.10467700104558919,0.09442710150528053,0.039928514808978445,0.01778335733430072
50,0.09996453402139639,0.09017652940470709,0.038131092239508294,0.016982690164002237
51,0.09546385717403673,0.08611724309288435,0.03641457164775783,0.016218052617309936
52,0.09116568932639435,0.08224070270028264,0.03477530706747943,0.015487838183725025
53,0.08706109818832775,0.07853860590635565,0.03320981846568224,0.014790486330191262
54,0.08314119201820207,0.0750031161651105,0.03171480312150253,0.014124517739421381
55,0.07939742799084434,0.07162675702166686,0.030287056850403053,0.01348852603821369
56,0.07582268725093268,0.06840238153509494,0.02892358673824397,0.012881160130582534
57,0.07240861155742047,0.06532311318985495,0.027621470519583472,0.012301128438246996
58,0.06914820131994176,0.062382441611327,0.02637796199195317,0.011747202173300157
59,0.0660345404427444,0.05957411558480199,0.025190422045568334,0.011218206358861598
60,0.06306102410820677,0.05689218518274913,0.024056319546475417,0.010713019006853574
61,0.06022134476582567,0.05433096167579407,0.022973279519869043,0.010230566977528874
62,0.0575094787482525,0.05188500373395671,0.021938970529005866,0.009769833751902785
63,0.054919699198797405,0.04954914020492639,0.020951220796422157,0.009329836959826185
64,0.05244646073732695,0.04731840795794396,0.02000791497710608,0.008909639409082726
65,0.050084543019740344,0.04518807529142448,0.019107070961799096,0.008508357259182007
66,0.047828935784666224,0.0431536303106624,0.018246777420351523,0.008125130446915239
67,0.04567485426419196,0.04121074406816544,0.01742520617068083,0.007759157662764797
68,0.04361772904358123,0.03935528610292033,0.016640602970531777,0.007409654794184407
69,0.04165319636492656,0.037583367225911435,0.015891313062528445,0.007075881398642087
70,0.03977708886843054,0.03589118698373962,0.015175752415562118,0.00675712340926303
71,0.03798542675735169,0.03427515653670563,0.014492389476769252,0.0064527170767570315
72,0.03627440935568776,0.03273186767429661,0.01383978940754579,0.006162016880528285
73,0.03464044386900346,0.03125804334084386,0.013216558261756389,0.005884395537223716
74,0.03307995355929242,0.029850543888093745,0.012621378938617873,0.005619272837163555
75,0.03158977501948729,0.028506386772407254,0.012052987399033611,0.005366078680826886
